gen,idx_in_gen,global_eval_idx,eval_tag,g0,g1,g2,g3,g4,g5,g6,eta1,eta2,gamma1,gamma2,gamma3,w_sharp,red_gain,map50,map50_95,eval_time_sec,ok,cache_hit,work_dir
0,0,1,run4_p1798000_e1,0.6913166642189026,0.43730807304382324,0.13880199193954468,0.5303462147712708,0.06652611494064331,0.3382759690284729,0.06010305881500244,0.6913166642189026,0.43730807304382324,1.216405975818634,2.0606924295425415,1.1330522298812866,0.3382759690284729,1.0901545882225037,0.764,0.393,1294.8227066993713,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_623e27b1db67aca9
0,1,2,run4_p1798000_e2,0.4506819248199463,0.24928653240203857,0.5628119707107544,0.06974083185195923,0.7583150863647461,0.45106542110443115,0.06384825706481934,0.4506819248199463,0.24928653240203857,2.488435912132263,1.1394816637039185,2.516630172729492,0.45106542110443115,1.095772385597229,0.686,0.342,1430.5384294986725,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_92e50088703909fb
0,2,3,run4_p1798000_e3,0.9352114796638489,0.5481788516044617,0.955906867980957,0.12115788459777832,0.61444091796875,0.9212057590484619,0.021860361099243164,0.9352114796638489,0.5481788516044617,3.667720603942871,1.2423157691955566,2.2288818359375,0.9212057590484619,1.0327905416488647,0.348,0.156,1412.5907399654388,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_18022fbf8ebf159c
0,3,4,run4_p1798000_e4,0.9554245471954346,0.2801399827003479,0.8861482739448547,0.453544557094574,0.2832335829734802,0.5486041903495789,0.7786327004432678,0.9554245471954346,0.2801399827003479,3.458444821834564,1.907089114189148,1.5664671659469604,0.5486041903495789,2.1679490506649017,0.295,0.13,1459.6915278434753,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_25295d7c3f06b84d
0,4,5,run4_p1798000_e5,0.5871960520744324,0.8910568952560425,0.7594925165176392,0.8596221804618835,0.7914164066314697,0.30598658323287964,0.022638261318206787,0.5871960520744324,0.8910568952560425,3.0784775495529173,2.719244360923767,2.5828328132629395,0.30598658323287964,1.0339573919773102,0.591,0.283,1402.5738475322723,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_e61c91ac94dc5911
0,5,6,run4_p1798000_e6,0.34376055002212524,0.9853865504264832,0.8493228554725647,0.9534024596214294,0.8155399560928345,0.6631450653076172,0.14075356721878052,0.34376055002212524,0.9853865504264832,3.347968566417694,2.906804919242859,2.631079912185669,0.6631450653076172,1.2111303508281708,0.325,0.147,1439.780959367752,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_aee537c16d42b2d4
0,6,7,run4_p1798000_e7,0.5763643980026245,0.9843270182609558,0.8597036600112915,0.10767602920532227,0.8512341380119324,0.9478463530540466,0.6185296773910522,0.5763643980026245,0.9843270182609558,3.3791109800338743,1.2153520584106445,2.7024682760238647,0.9478463530540466,1.9277945160865784,0.213,0.092,1380.072730064392,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_5e2c8b1f1fcd9453
0,7,8,run4_p1798000_e8,0.8989601135253906,0.8479339480400085,0.6472062468528748,0.1580735445022583,0.04730576276779175,0.9580817818641663,0.8242382407188416,0.8989601135253906,0.8479339480400085,2.741618740558624,1.3161470890045166,1.0946115255355835,0.9580817818641663,2.2363573610782623,0.204,0.0903,1466.6260221004486,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_bde29b1f96fc8e95
0,8,9,run4_p1798000_e9,0.7463217377662659,0.6896491646766663,0.289192795753479,0.9655966758728027,0.7342879176139832,0.3556722402572632,0.17953556776046753,0.7463217377662659,0.6896491646766663,1.667578387260437,2.9311933517456055,2.4685758352279663,0.3556722402572632,1.2693033516407013,0.642,0.312,1227.741999387741,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_f8db89d280a3f9bd
0,9,10,run4_p1798000_e10,0.43283599615097046,0.8711015582084656,0.5840385556221008,0.09874224662780762,0.33417391777038574,0.7915015816688538,0.27572500705718994,0.43283599615097046,0.8711015582084656,2.5521156668663023,1.1974844932556152,1.6683478355407715,0.7915015816688538,1.413587510585785,0.496,0.234,1483.449343919754,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_78e7989321270e28
0,10,11,run4_p1798000_e11,0.3522239327430725,0.4653512239456177,0.2675178647041321,0.5475698113441467,0.07359367609024048,0.1351260542869568,0.5481242537498474,0.3522239327430725,0.4653512239456177,1.6025535941123963,2.0951396226882935,1.147187352180481,0.1351260542869568,1.8221863806247711,0.559,0.268,1406.2659153938293,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_054545760848cc25
0,11,12,run4_p1798000_e12,0.5248350501060486,0.21552139520645142,0.7661260366439819,0.2854275107383728,0.3099527359008789,0.5839683413505554,0.34248799085617065,0.5248350501060486,0.21552139520645142,3.0983781099319456,1.5708550214767456,1.6199054718017578,0.5839683413505554,1.513731986284256,0.551,0.266,1382.40478682518,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_9e23fb5fea1f327a
0,12,13,run4_p1798000_e13,0.5123487114906311,0.10683983564376831,0.0086517333984375,0.0756102204322815,0.8258154392242432,0.8009899854660034,0.5539100170135498,0.5123487114906311,0.10683983564376831,0.8259552001953125,1.151220440864563,2.6516308784484863,0.8009899854660034,1.8308650255203247,0.353,0.162,1158.698879957199,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_1be4c99c30213d96
0,13,14,run4_p1798000_e14,0.7149085402488708,0.9515079259872437,0.6923845410346985,0.6905043721199036,0.12212872505187988,0.18777215480804443,0.8879165649414062,0.7149085402488708,0.9515079259872437,2.8771536231040953,2.381008744239807,1.2442574501037598,0.18777215480804443,2.3318748474121094,0.265,0.118,1159.6215779781342,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_b17e06341df57c24
0,14,15,run4_p1798000_e15,0.7545645236968994,0.7782636880874634,0.7463480234146118,0.9947561025619507,0.5820218920707703,0.5759032368659973,0.35690391063690186,0.7545645236968994,0.7782636880874634,3.0390440702438353,2.9895122051239014,2.1640437841415405,0.5759032368659973,1.5353558659553528,0.381,0.171,1319.4380416870117,1,0,/home/zhangxu/yolov5-7.0/ga_cache/work_88590e5acd91f31e
